Test Report running for last 13 builds
BUILD_NUMBER,BUILD_STATUS,BUILD_TIMESTAMP
9,SUCCESS,Sat Feb 27 12:58:34 IST 50151 
 
10,SUCCESS,Mon Mar  1 03:25:26 IST 50151 
 
11,SUCCESS,Tue Mar  2 02:48:35 IST 50151 
 
12,SUCCESS,Thu Jul 13 22:27:25 IST 50152 
 
13,SUCCESS,Sun Jul 16 07:59:55 IST 50152 
 
14,SUCCESS,Fri May  6 10:59:23 IST 50208 
 
15,SUCCESS,Sun May  8 06:18:06 IST 50208 
 
16,SUCCESS,Sat Oct 15 11:04:23 IST 50208 
 
17,FAILURE,Wed Apr  5 15:53:51 IST 50209 
 
18,SUCCESS,Sun Dec 10 18:21:14 IST 50209 
 
19,FAILURE,Tue Jul 28 19:06:44 IST 50229 
 
20,SUCCESS,Fri Jul 31 09:57:59 IST 50229 
 
21,SUCCESS,Sun Aug 23 08:03:42 IST 50229 
 
*************************************************
SUCCESS COUNT = 11
FAILURE COUNT = 2
ABORTED or UNSTABLE COUNT = 0
*************************************************
